Name;Action;Industry;Company;Текущее имя
Diesel;still operating in Russia, not disclosed;Consumer Discretionary;Italy;None
Dinex A/S;Business as usual;Consumer Discretionary;Denmark;None
Doka;still manufacturing in Russia, not disclosed;Industrials;Austria;None
Dr Reddys Labs;business as usual, plans new brands in Russia;Health Care;India;None
Duol;still operating in Russia;Consumer Discretionary;Slovenia;None
Egger;still operating in Russia;Industrials;Austria;None
Egyptair;still flying to Russia;Industrials;Egypt;None
ELA Container;still selling in Russia;Industrials;Germany;None
ElvalHalcor;Not disclosed publicly;Materials;Greece;None
Emirates Airlines;still flying to Russia;Industrials;United Arab Emirates;None
EMS-Chemie;still operating in Russia;Materials;Switzerland ;None
Etam;still selling to Russia;Consumer Discretionary;France;None
Etihad Airways;still flying to Russia;Industrials;United Arab Emirates;None
Euronet Worldwide;Business as usual;Financials;United States;None
FAW Group;remains silent on whether they will continue operations;Industrials;China;None
Fenzi Group;still operating in Russia;Industrials;Italy;None
Fleetcor;business as usual ;Financials;United States;None
Fluidra;continuing sales in Russia;Industrials;Spain;None
Fondital;still operating and investing in Russia;Industrials;Italy;None
Foraco;still operating in Russia;Energy;France;None
Fresenius;still operating in Russia;Health Care;Germany;None
Frigoglass;still operating in Russia;Industrials;Greece;None
FS Mackenzie;Business as usual;Industrials;United Kingdom;None
Geoplin;still purchasing Russian gas from Gazprom;Energy;Slovenia;None
Gerry Weber;Business as usual;Consumer Discretionary;Germany;None
Globus;still operating in Russia  ;Consumer Staples;Germany;None
Gorenje;still operating in Russia;Consumer Discretionary;Slovenia;None
Groupe Le Duff;still operating in Russia;Consumer Discretionary;France;None
Groupe Savencia;still operates in Russia;Consumer Staples;France;None
Grupo Borges | ITLV;still operating in Russia;Consumer Staples;Spain;None
Grupo Fuertes;still operating in Russia;Consumer Staples;Spain;None
Guess ;Business as usual;Consumer Discretionary;United States;None
Haier;planning expansion in Russia;Consumer Discretionary;China;None
Heidenhain;still operating in Russia through a third-party, not disclosed publicly;Information Technology;Germany;None
Heliski Russia;cooperating with sanctioned individuals;Industrials;France;None
Hengli Group;business as usual;Energy;China;None
Herend;still operating in Russia;Consumer Discretionary;Hungary ;None
Hoffmann Group;still operating and advertising in Russia;Industrials;Germany;None
Honor;business as usual;Information Technology;China;None
Huntsman Corporation;still operating in Russia;Materials;United States;None
Ideal Molde;still selling to Russia;Industrials;Portugal;None
Indian Oil Corporation;signed new deal to import Russian oil;Energy;India;None
IndusInd Bank;Approved for rupee trade with Russia;Financials;India;None
Industrial Bank (China);offices operating in Moscow, did not answer for Reuters' calls for commenting on that;Financials;China;None
IQVIA;still operating and actively hiring;Industrials;United States;None
Iridium ;Business as usual;Communication Services;United States;None
Itochu;continues oil &amp, gas exploration partnerships;Consumer Staples;Japan;None
JD.com;business as usual - the Russian store is still fully operational;Industrials;China;None
Jean Cacharel;still selling and advertising in Russia;Consumer Discretionary;France;None
JKX;Business as usual;Energy;United Kingdom;None
JSW Steel;Increased business with Russia;Materials;India;None
Kawasaki;still operating in Russia, providing online sales, and cooperating with dealers;Industrials;Japan;None
Kidzania;Operating facility in Russia;Communication Services;Mexico;None
Kleemann;Not disclosed publicly;Industrials;Greece;None
Kotanyi;still exporting to Russia;Consumer Staples;Austria;None
Koton;still advertising  and selling to Russia;Consumer Discretionary;Turkey;None
Krka;still operating in Russia;Health Care;Slovenia;None
Kweichow Moutai; business as usual;Consumer Staples;China;None
La Redoute;still selling products to Russia;Consumer Discretionary;France;None
Lacoste;still operating in Russia;Consumer Discretionary;France;None
LACTALIS;still operating in Russia;Consumer Staples;France;None
Larsen &amp, Toubro;Business as usual;Real Estate;India;None
Lemken;still operating and advertising in Russia;Industrials;Germany;None
Leptos Estates;continues operations in Russia;Real Estate;Cyprus;None
Letique Cosmetics;maintains stores in Russia;Consumer Staples;Latvia;None
Liebherr;No action taken, still operating in Russia;Industrials;Switzerland ;None
LiSEC;still operating in Russia;Industrials;Austria;None
Luka Koper;continuing trans shipments;Industrials;Slovenia;None
Makita;still working with dealers in Russia;Industrials;Japan;None
Makrochem SA;still operating in Russia;Industrials;Poland;None
Match Group;continue to operate in Russia including Tinder;Communication Services;United States;None
Maxam;still operating in Russia;Materials;Spain;None
Micro-Star International Co. (MSi);still operating in Russia;Information Technology;Taiwan;None
Mitsubishi Heavy Industries;still operating in Russia;Industrials;Japan;None
Mitsui;continuing operations within sanctions compliance &amp, shares in Sakhalin-2 project;Materials;Japan;None
Mizuho Financial Group;still operating in Russia;Financials;Japan;None
Mod's Hair;still operates in Russia;Consumer Discretionary;France;None
MOL | Mitsui O.S.K. Lines, Ltd.;still operating in Russia;Industrials;Japan;None
Muehlhan AG;Business as usual;Materials;Germany;None
New Yorker Marketing &amp, Media GmbH;continue to operate and open new stores;Industrials;Germany;None
NIS Serbia;partnership with Gazprom Neft, Gazprom has a 50% stake in NIS;Energy;Serbia;None
Nordson;Business as usual;Materials;United States;None
Oasis Logistics Corp; “We are actively exploring opportunities to work with our Russian partners”;Industrials;China;None
OBO Bettermann;still operating in Russia;Industrials;Germany;None
OCSiAl;still running research center and branch;Information Technology;Luxembourg;None
OKI;still operating in Russia, not disclosed;Information Technology;Japan;None
ONGC;Selling of Russian Sokoil to other Indian Nationalised Energy corps;Energy;India;None
Oppo;business as usual;Information Technology;China;None
Orano;still operating in Russia;Energy;France;None
Patreon;still providing services to Russia;Financials;United States;None
Pegasus;still flying to Russia;Industrials;Turkey;None
Perfetti Van Melle;still operating in Russia, not disclosed publicly;Consumer Staples;Italy;None
Petrofac;Business as usual;Energy;United Kingdom;None
Pidilite Ind;Business as usual - Imports to Russia;Materials;India;None
Plastika Kritis;Not disclosed publicly;Materials;Greece;None
Poly Real Estate;a sister company is Poly Technologies, one of China's largest arms exporters and has been sanctioned by the United States, in Russian tax registry;Real Estate;China;None
Posco;operating through a Russian subsidiary;Materials;South Korea;None
PowerChina;"cooperating with a Russian bank ""Solidarnost"" on off-shore projectes";Energy;China;None
Projahn;still operating in Russia through a subsidiary;Industrials;Germany;None
Provalliance Group (Jean Louis David);affiliates still operating in Russia;Consumer Discretionary;France;None
Qatar Airways;still flying to Russia;Industrials;Qatar;None
Quicksilver;online sales still running;Consumer Discretionary;United States;None
Raba;maintain commerical ties with Russian Kamaz;Industrials;Hungary ;None
Rabe Moden;still  advertising and selling to Russia via Telegram;Consumer Discretionary;Germany;None
Raiffeisen Bank International;still operating in Russia;Financials;Austria;None
Reckitt Benckiser Group;pledge to exit Russia, but still no action a year later while actively hiring;Consumer Staples;United Kingdom ;None
Reliance;Buying Russian fuel;Energy;India;None
Richter Spielgeräte GmbH;Continues supplying playground equipment;Consumer Discretionary;Germany;None
Riko;still operating in Russa;Industrials;Slovenia;None
Riot Games;still operating in and selling to Russia ;Consumer Discretionary;United States;None
Russia Fachspedition Dr. Lassmann;still operating in Russia;Industrials;Austria;None
SAIC Motor;remains operational, plans to increase export;Industrials;China;None
Salzgitter;Business as usual;Materials;Germany;None
Sanatmetal;still operating in Russia;Health Care;Hungary ;None
Sany Heavy Industries;business as usual;Industrials;China;None
Sarstedt AG;Business as usual;Health Care;Germany;None
Sbarro Pizza;still operating in Russia and allowing placing online orders;Consumer Discretionary;United States;None
SBI;Facilitating rupee trade with Russia ;Financials;India;None
Schoeller Bleckmann;still operating in Russia;Industrials;Austria;None
Semiconductor Manufacturing International Corporation;defies US sanctions by continuing to export to Russia;Information Technology;China;None
Shanghai Fosun Pharmaceutical;business as usual;Health Care;China;None
Siemens Healthineers;continue to support healthcare providers;Health Care;Germany;None
Signet Armorite;operating in Russia through a subsidiary;Consumer Discretionary;United States;None
Sisecam;still operating in Russia through subsidiaries;Materials;Turkey;None
SMC;still operating in Russia;Industrials;Japan;None
Société Bic;still operating and actively hiring in Russia;Consumer Discretionary;France;None
Soler &amp, Palau Ventilation Group;Business as usual, 15 listed distributors ;Industrials;Spain;None
Stada Arzneimittel;still operating in Russia;Health Care;Germany;None
State Grid Corporation of China;business as usual;Utilities;China;None
Storck;continue candy sales in Russia;Consumer Staples;Germany;None
Stryker;continue sales and imports to Russia;Health Care;United States;None
Sucden;Business as usual;Financials;France;None
Sun Pharma;Business as usual;Health Care;India;None
SWISS KRONO;still operating plant in Russia;Industrials;Switzerland ;None
Symrise;Business as usual;Consumer Discretionary;Germany;None
Syngenta;still operating in Russia;Health Care;China;None
Tencent;major investment in VK ;Communication Services;China;None
Tenneco;still operating in Russia, deny comments;Consumer Discretionary;United States;None
TEPCO;continues purchases of Russian gas;Utilities;Japan;None
Teva;no action taken, still operating Russia;Health Care;Israel;None
TGI Friday's;still operating in Russia;Consumer Discretionary;United States;None
The China Coal Transportation and Distribution Association;big power plants and about 20 Russian coal companies discussed plans to increase bilateral trade;Energy;China;None
Titan International;still operating in Russia;Industrials;United States;None
Toppan;Business as usual;Consumer Discretionary;Japan;None
Trumpf;Business as usual;Industrials;Germany;None
Tupperware;still operating and actively hiring in Russia;Consumer Discretionary;United States;None
Turkish Airlines;still flying to Russia;Industrials;Turkey;None
UniCredit;Still operating in Russia;Financials;Italy;None
Uzbekistan Airways;still flying to Russia;Industrials;Uzbekistan;None
Valeo;still operating in Russia;Consumer Discretionary;France;None
Valve;still providing services to Russia;Consumer Discretionary;United States;None
Vanke;business as usual;Real Estate;China;None
Veolia;still operating in Russia;Utilities;France;None
Vinci SA;still operating in Russia;Industrials;France;None
Visteon;Business as usual;Consumer Discretionary;United States;None
Vivo;still operating in Russia;Industrials;China;None
Wanhua Chemical Group;still operating in Russia;Materials;China;None
Worldline;Business as usual;Financials;France;None
Xibao Metallurgy Materials Group;Building a refractory material plant in Lipetsk, Russia;Industrials;China;None
Yamaha;Still operating and advertising in Russia;Consumer Discretionary;Japan;None
Yazaki;Operating in Russia through a subsidiary;Consumer Discretionary;Japan;None
Zentis;Business as usual;Consumer Staples;Germany;None
Zepter;Still advertising and selling to Russia;Consumer Discretionary;Switzerland ;None
Zimmer Biomet;continues sales in Russia;Health Care;United States;None
ZTE; business as usual;Information Technology;China;None
Zwack;Not disclosed publicly;Consumer Staples;Hungary ;None
Aalberts;" continue operations on an unspecified ""lower"" level &amp, postpone investments";Industrials;Netherlands;None
Abbott Laboratories;suspend non-essential business activity;Health Care;United States;None
Abbvie;suspend aesthetics operations, pause new clinical trials;Health Care;United States;None
Accor;suspend new investments/development;Consumer Discretionary;France;None
Accumalux;still operating plant in Togliatti, Russia;Consumer Discretionary;Luxembourg;None
Airbus;suspend supply of parts and deliveries/servicing, t but continue substantial titanium purchases from Russia;Industrials;Netherlands;None
Akrapovič;still operating in Russia;Consumer Discretionary;Slovenia;None
Alcon;suspend new investments and new clinical trial enrollment in Russia;Health Care;Switzerland ;None
AmerisourceBergen;cease new business initiatives but continue existing clinical trials, and distributing health products;Health Care;United States;None
Andritz;suspend unspecified new business in Russia for time being;Industrials;Austria;None
Anecoop;diverting sales away from Russia;Consumer Staples;Spain;None
Archer Daniels Midland (ADM);unspecified scaling down of non-essential operations;Consumer Staples;United States;None
AstraZeneca;halt new investments/new clinical trials;Health Care;United Kingdom ;None
Aurubis AG;monitor situation and review structures of Russian business partners;Industrials;Germany;None
Bang &amp, Bonsomer;suspend new investments but still operating in Russia;Materials;Finland;None
Barilla;all new investments and advertising activities on hold, limit Russia production to pasta and bread;Consumer Staples;Italy;None
Barry Callebaut;suspend capital investment;Consumer Staples;Switzerland ;None
Bayer;stopping unspecified non-essential business activity;Health Care;Germany;None
Binance;restrict Russian accounts with over €10,000;Financials;China;None
BlaBlaCar;Stopped new investment but stays in Russia;Information Technology;France;None
Boiron;suspend new investments &amp, stop clinical trials;Health Care;France;None
Bolt;Remove all Russia-manufactured and Russian-branded goods;Information Technology;Estonia;None
Bosch;Suspend some shipments and plants but not all. Looking for buyer;Industrials;Germany;None
Calfrac Well Services;suspension of new investments in Russia;Energy;Canada;None
Campari;continue sales in Russia but suspend new investments;Consumer Staples;Italy;None
CANPACK;Stopped new investments;Materials;Poland;None
CAPRI Holdings (Versace, Michael Kors, Jimmy Cho);online orders unavailable but still advertising, no information about on-site sales;Consumer Discretionary;United States;None
Cargill;unspecified scaling down of non-essential operations;Consumer Staples;United States;None
Carlsberg;Dragging feet on exiting Russia;Consumer Staples;Denmark;None
Carmim;suspend some orders in backlog;Consumer Staples;Portugal;None
Carter's | Oshkosh;Stop all shipments of merchandise to Russia;Industrials;United States;None
Colgate-Palmolive;continue essential health and hygiene products;Consumer Staples;United States;None
Corticeira Amorim;commerical activity suspended;Materials;Portugal;None
Crèdit Andorrà;Investigate if Russian customers are subject to European sanctions;Financials;Andorra;None
Deceuninck;stop investments &amp, cut links with other establishments;Industrials;Belgium;None
Delonghi;paused new shipments and  investments;Consumer Discretionary;Italy;None
DMK Group;suspend new investments/advertising but continue sales and plant operations in Russia;Consumer Staples;Germany;None
Domino's Pizza;suspend royalty payments &amp, limit investment – restaurants remain open;Consumer Discretionary;United States;None
dōTERRA;suspend new investment in Russia;Consumer Staples;United States;None
DP Eurasia;Closed 29 Stores. Has 171 Stores in Russia ;Consumer Staples;Netherlands;None
Dr. Theiss;suspend advertisement;Health Care;Germany;None
Ebara;Seeking optimal procurement ;Industrials;Japan;None
Ecco;suspend new investments still operating in Russia;Consumer Discretionary;Denmark;None
Eesti Gaas;continues to import Russian gas but is looking for alternatives;Energy;Estonia;None
Ehrmann;continue sales in Russia but suspend new investments;Consumer Staples;Germany;None
Ekosem Agrar AG;restructuring finances;Consumer Staples;Germany;None
Eli Lilly;suspend new investments and clinical trials;Health Care;United States;None
Engie;no new investments ;Utilities;France;None
ESL;ban people with ties to Russian government;NGO;Germany;None
FIDE;Allowing Russian play after suspend Russian &amp, Belarussian teams from participation in tournaments;NGO;Switzerland ;None
FM Global;stopped renewing and underwriting new reinsurance;Financials;United States;None
Focus Brands - Cinnabon;no new investments and expansion plans on hold;Industrials;United States;None
Forever Living Products;"Suspended online sales but continues to pay earned bonuses to russians and other ""friendly countries""";Consumer Discretionary;United States;None
Freelancer;Still operating in Russia, sanctioned payment methods disabled;Information Technology;Australia;None
Freudenberg Group;cease trading operations with Russia &amp, Belarus, running plants in Russia;Industrials;Germany;None
Gedeon Richter;still operating in Russia;Health Care;Hungary ;None
Geox;suspend new investments;Consumer Discretionary;Italy;None
Gilead Sciences;Stopped some business operations;Health Care;United States;None
Giorgio Armani;Suspended investments;Consumer Discretionary;Italy;None
GlaxoSmithKline;stopped advertising/new clinical trials in Russia;Health Care;United Kingdom ;None
Greif;Canceled future investments in Russia;Materials;United States;None
Grohe;Suspended Shipments;Consumer Discretionary;Germany;None
GROUPE LIMAGRAIN/JACQUET-BROSSARD;continues flows to Russian and Ukrainian producers but suspends its project to build a seed factory in Russia;Industrials;France;None
Groupe Seb;"suspend new investments and ""sharply"" reduce activities in Russia";Consumer Discretionary;France;None
Gruma;halt new investments in Russia;Consumer Staples;Mexico;None
GXO Logistics;suspend new investments ;Industrials;United States;None
HeidelbergCement;suspend all further investments;Materials;Germany;None
Heineken;promise to exit Russia completely but no still no announced divestiture;Consumer Staples;Netherlands;None
Hellenic Bank;maintain rep offices in Russia, observe all banking sanctions;Financials;Cyprus;None
Hellenic Petroleum;seeks new oil supplier to replace Russian oil;Energy;Greece;None
HERZ;no new business in Russia;Consumer Discretionary;Austria;None
Hilton;suspend new investments/close corporate office;Consumer Discretionary;United States;None
Hines;suspend new investments in Russia;Industrials;United States;None
HiPP;suspend investments in Russia but continue substantive operations;Consumer Staples;Switzerland ;None
Hochland;suspend investments but continues sales and plant operations in Russia;Consumer Staples;Germany;None
HSBC;curtail Russian access to capital markets and limit new business;Financials;United Kingdom ;None
Huawei;suspend new orders and furlough some staff;Information Technology;China;None
Hyatt;suspend investments and new developments;Consumer Discretionary;United States;None
ID Logistics;suspend new investment in Russia;Industrials;France;None
IFF;Suspended some production and supply of ingredients for products;Consumer Discretionary;United States;None
Infosys; Paying two subcontractors in Moscow;Information Technology;India;None
ING Bank;pause all new business;Financials;Netherlands;None
Ingram Micro;no new business in Russia;Information Technology;United States;None
Intermedia;move some employees out of Russia and ambiguous reduction of risk exposure to Russia;Communication Services;United States;None
International Baccalaureate Organization;still offers professional development services to Russian teachers;NGO;Netherlands;None
Intesa Sanpaolo;suspend new investments and curtail new financing;Financials;Italy;None
Ipsen ;Suspended some promotional activities and no new client trials in Russia;Health Care;France;None
J. Neves &amp, Fihos (JNF);paused distribution;Industrials;Portugal;None
Japan Tobacco;stopped new investments and marketing activities in Russia;Consumer Staples;Japan;None
JDE Peet's;largely still operating in Russia;Consumer Staples;Netherlands;None
Johnson &amp, Johnson;pause patient enrollment in ongoing trials;Health Care;United States;None
KCA Deutag;suspend investments;Energy;United Kingdom ;None
KDDI Corp;continue operations with local staff;Communication Services;Japan;None
Kemin;still operating in Russia, declined to commend;Health Care;United States;None
Kimberly-Clark;suspend new investments in Russia;Consumer Staples;United States;None
Knauf;still operating across 14 sites in Russia but suspend new investments;Materials;Germany;None
Kraft Heinz - JBS;stopped new investments and exports/imports from Russia ;Consumer Staples;United States;None
Kubíček VHS;stop cooperation;Industrials;Czech Republic;None
Laboratoire Servier;suspending new investments but still operating in Russia;Health Care;France;None
Lenovo;reported to suspend operations in Russia ;Information Technology;Hong Kong;None
Loulis Mills;search for alternative suppliers;Consumer Staples;Greece;None
Maire Tecnimonet;suspended commercial activities, managing existing backlog;Industrials;Italy;None
Manitowoc;stopped taking new orders, still maintaining office in Russia;Industrials;United States;None
Marel;paused new projects;Consumer Staples;Iceland;None
Mars;Factories and sales operating in Russia;Consumer Staples;United States;None
Mavenir;continue operating in Russia but very limited curtailment of some activities;Information Technology;United States;None
Medtronic;Limited some activities;Health Care;United States;None
Melamin;making up for shortfall from sanctions;Materials;Slovenia;None
Menarini Group;stop advertisement and new investments, continue operating plant in Russia;Health Care;Italy;None
Merck Group;no further investments/clinical trial enrollment;Health Care;United States;None
Merck KGaA;still operating and actively hiring in Russia, restrict transactions;Health Care;Germany;None
Metro;stop all growth investments and reduce advertisements;Consumer Staples;Germany;None
Mocapor;paused exports;Industrials;Portugal;None
Mohawk Industries;suspend new investments in Russia;Consumer Discretionary;United States;None
Mondelez - Nabisco;scaling back unspecified non-essential activities in Russia;Consumer Staples;United States;None
National Oilwell Varco;suspend all new investments in Russia;Energy;United States;None
Nature's Sunshine;suspend shipments into Russia but not sales;Consumer Staples;United States;None
Naust Marine ;stopped projects in Russia;Industrials;Iceland;None
Nestle;halted non-essential imports/exports to Russia, stopped all advertising, and suspended all capital investment;Consumer Staples;Switzerland ;None
Nippon Steel;searching to replace Russian supplies;Materials;Japan;None
Nor-Maali;stop further investments;Industrials;Finland;None
Novartis;pause all new capital investments, media advertising and other promotions, pause new clinical trials and enrollment of new patients;Health Care;Switzerland ;None
Novo Nordisk;suspend further marketing and clinical investment, pause new clinical trials and active enrollment;Health Care;Denmark;None
NTPC;Difficulty in transacting with Russian counterparties due to SWIFT issues etc;Utilities;India;None
OMV;no new Russian investments, doing strategic review of current Russian gas investments;Energy;Austria;None
Orion;suspend investments in Russia;Health Care;Finland;None
Palfinger;reduced production;Industrials;Austria;None
Pfizer;stopped new investments/clinical trials in Russia ;Health Care;United States;None
Philips;online sales still available in Russia but suspend new marketing;Consumer Discretionary;Netherlands;None
Polpharma;stop all new investments and limit deliveries to essential drugs only;Health Care;Poland;None
Pottinger;limited deliveries to Russia sales subsidiary;Industrials;Austria;None
Procter &amp, Gamble (P&amp,G);Still operating, despite statement;Consumer Staples;United States;None
Red Bull;suspend new investments ;Consumer Staples;Austria;None
Remondis;still operating in Russia, not disclosed publicly;Industrials;Germany;None
RHI Magnesita;selling down existing stocks in Russia;Industrials;Austria;None
Ritter Sport;halt new investments and advertising;Consumer Staples;Germany;None
Roche;pause new site activation and patient enrollment, continue operating;Health Care;Switzerland ;None
Rockwool;cancel new investments in Russia ;Industrials;Denmark;None
Saipem;halt new investments;Industrials;Italy;None
Sanofi;halting advertising and promotional spending and new recruitment of patients clinical trials, continue medical supply and treating current patients;Health Care;France;None
Sarens;new projects cancelled;Industrials;Belgium;None
SC Johnson;stopped new investments and scaled back unspecified operations;Consumer Staples;United States;None
Schlumberger;stopped new investment and technology deployment to our Russia operations;Energy;United States;None
Schmitz Cargobull;Stopped all investments;Industrials;Germany;None
SCHOTT;suspend investments in Russia;Materials;Germany;None
SGS;Suspended business development and investment activities ;Industrials;Switzerland ;None
Signify;suspend only exports to Russia and investments and new business ;Consumer Discretionary;Netherlands;None
Smith &amp, Nephew PLC;Stopped new investments;Health Care;United Kingdom;None
Snap;halt advertisement ;Communication Services;United States;None
Soudal;cancel investments in a brand new factory in Russia, but maintain other activities;Materials;Belgium;None
SRV;outline steps to stop procurement of building materials from Russia ;Materials;Finland;None
Standard Chartered;Restricts Russian transactions;Financials;United Kingdom;None
Subway;suspend new investments/advertising;Consumer Staples;United States;None
Sumitomo Mitsui Financial;continue operations with local staff;Financials;Japan;None
Syneos Health;Patient recruitment on hold and no new clinical trial in Russia;Health Care;United States;None
Takeda;Suspended new investments, advertising and promotion &amp, no new clinical trials and stopped enrollment of new Russian patients in ongoing clinical trials.;Health Care;Japan;None
TMF Group;suspend new contracts, continue supporting current customers;Industrials;Netherlands;None
TOM Tailor;no official statement, online sales suspended but advertising continues;Consumer Discretionary;Germany;None
Toshiba Group;stop all new investments in Russia;Information Technology;Japan;None
Toshulin;Stopped cooperation;Industrials;Czech Republic;None
Total Energies;no longer will provide capital for new projects in Russia/stop purchasing Russian oil, withdraw from Arctic LNG 2 project;Energy;France;None
Toyota Tsusho;Stopped exports and imports of auto parts to and from Russia;Materials;Japan;None
TZMO;stopped new investments;Consumer Staples;Poland;None
UCB;Stopped enrolling new patients and not starting new sites or clinical trials in Russia;Health Care;Belgium;None
Unilever;stopped imports/exports and stopped all advertising and investments;Consumer Staples;United Kingdom ;None
UnionPay;Suspended issuing bank cards to Russian Banks;Financials;China;None
Viatris;Suspended some operations;Health Care;United States;None
Vimeo;not accept new customers from Russia;Communication Services;United States;None
Weatherford International;suspend new investments/deployments in Russia;Energy;United States;None
Welltec;suspend all new investments in Russia;Energy;Denmark;None
Xiaomi;Reported to suspend operations in Russia;Information Technology;China;None
Yokogawa;No new projects in Russia;Information Technology;Japan;None
Yokohama;Decision to renew production in Russia despite previous announcements to halt production;Consumer Discretionary;Japan;None
Young Living;Suspend new investments in Russia;Consumer Staples;United States;None
Yves Rocher;Suspend new investments/development;Consumer Staples;France;None
Activision Blizzard;suspend new sales of and in our games in Russia;Communication Services;United States;None
Adobe;suspend all new sales in Russia and Belarus, current services continue;Information Technology;United States;None
AGCO;stop sale of new machines to Russia;Industrials;United States;None
AkzoNobel;suspend new investments in Russia, end Aerospace work;Materials;Netherlands;None
Allianz;meaningfully reduce exposure to Russia;Financials;Germany;None
Alphabet;withdraw all operations in Moscow, stop taking new customers, stop ads;Communication Services;United States;None
Amadeus IT Group;suspend partnership with Aeroflot;Information Technology;Spain;None
Amgen;suspend all non-essential business activities, keep delivering some medicines;Health Care;United States;None
ArcelorMittal;Resumed steel supplies to Russia;Materials;Luxembourg;None
ASBIS;amends contracts following new sanctions;Information Technology;Cyprus;None
Bacardi;paused exports to Russia but not domestic operations;Consumer Staples;Bermuda;None
Bank of Cyprus;maintain loan book, observe banking sanctions;Financials;Cyprus;None
Beiersdorf;maintain skin and bodycare products, stop other products;Consumer Staples;Germany;None
Bekaert;scale back business in Russia;Industrials;Belgium;None
Black Red White;divesting from Russian subsidiary, still has a significant stake in a company operating in Belarus, which also suspended Russian exports;Consumer Discretionary;Poland;None
BNY Mellon;suspend new business activity and investments, continue cooperation with current clients;Financials;United States;None
Boehringer Ingelheim;scale back to just supplying medicine;Health Care;Germany;None
